,ip,district,avg_ms,packet loss
43,[2606:4700:976f::],HKG,66.51959419,0
1,[2606:4700:91b2::],HKG,66.8407917,0
84,[2606:4700:9a9b::],HKG,72.73581028,0
87,[2606:4700:9a9e::],HKG,73.0735302,0
129,[2606:4700:9c6b::],HKG,73.09896946,0
0,[2606:4700:91b1::],HKG,75.58345795,0
130,[2606:4700:9c6d::],HKG,77.3211956,0
128,[2606:4700:9c6a::],HKG,80.76593876,0
41,[2606:4700:976d::],HKG,84.21647549,0
85,[2606:4700:9a9c::],HKG,85.41650772,0
42,[2606:4700:976e::],HKG,86.69157028,0
